Catégorie : Toutes catégories

Mois,flu: (États-Unis),congestion: (États-Unis),fatigue: (États-Unis),sore throat: (États-Unis),runny nose: (États-Unis)
2007-01,8,1,2,2,< 1
2007-02,8,1,2,2,< 1
2007-03,6,1,2,2,< 1
2007-04,4,1,2,2,< 1
2007-05,3,1,2,2,< 1
2007-06,2,1,2,2,< 1
2007-07,2,1,2,1,< 1
2007-08,2,1,2,1,< 1
2007-09,4,1,2,1,< 1
2007-10,13,1,2,2,< 1
2007-11,10,1,2,2,< 1
2007-12,6,1,2,2,< 1
2008-01,7,1,2,2,< 1
2008-02,14,1,2,2,< 1
2008-03,8,1,2,2,< 1
2008-04,4,1,2,2,< 1
2008-05,3,1,2,2,< 1
2008-06,2,1,2,1,< 1
2008-07,2,1,2,1,< 1
2008-08,2,1,2,2,< 1
2008-09,4,1,2,2,< 1
2008-10,13,1,2,2,< 1
2008-11,12,1,2,2,< 1
2008-12,7,1,2,2,< 1
2009-01,6,1,2,2,< 1
2009-02,8,1,2,2,< 1
2009-03,6,1,2,2,< 1
2009-04,100,1,2,2,< 1
2009-05,77,1,3,2,< 1
2009-06,20,1,3,2,< 1
2009-07,15,1,2,2,< 1
2009-08,23,1,2,2,< 1
2009-09,53,1,2,2,< 1
2009-10,87,1,3,3,< 1
2009-11,48,1,2,3,< 1
2009-12,17,1,2,3,< 1
2010-01,9,1,2,2,< 1
2010-02,6,1,2,3,< 1
2010-03,5,1,2,3,< 1
2010-04,3,1,2,2,< 1
2010-05,3,1,2,3,< 1
2010-06,2,1,2,2,< 1
2010-07,2,1,2,2,< 1
2010-08,3,1,2,2,< 1
2010-09,7,1,2,2,1
2010-10,11,1,2,2,< 1
2010-11,9,1,2,3,< 1
2010-12,8,1,2,3,1
2011-01,10,2,2,4,1
2011-02,11,2,3,4,1
2011-03,6,1,3,4,1
2011-04,4,1,3,4,1
2011-05,3,1,3,4,< 1
2011-06,3,1,3,3,< 1
2011-07,2,1,3,3,< 1
2011-08,3,1,3,3,< 1
2011-09,8,1,3,3,1
2011-10,11,1,3,3,< 1
2011-11,8,1,2,4,1
2011-12,7,2,2,4,1
2012-01,7,2,3,4,1
