Catégorie : Toutes catégories

Semaine,flu: (Californie),chest pain: (Californie),arthralgia: (Californie),fainting: (Californie),pass out: (Californie)
2019-11-17,15,3,< 1,< 1,1
2019-11-24,12,3,< 1,< 1,1
2019-12-01,14,3,< 1,< 1,1
2019-12-08,16,3,0,< 1,1
2019-12-15,17,3,< 1,< 1,1
2019-12-22,20,3,0,< 1,1
2019-12-29,23,3,< 1,1,1
2020-01-05,25,3,< 1,< 1,1
2020-01-12,27,3,< 1,1,1
2020-01-19,32,3,< 1,1,1
2020-01-26,43,3,< 1,1,1
2020-02-02,35,3,< 1,1,1
2020-02-09,29,3,< 1,< 1,1
2020-02-16,25,3,< 1,< 1,1
2020-02-23,47,3,< 1,1,1
2020-03-01,58,3,< 1,< 1,1
2020-03-08,100,4,< 1,< 1,1
2020-03-15,89,6,< 1,< 1,1
2020-03-22,65,6,< 1,< 1,1
2020-03-29,57,6,< 1,< 1,1
2020-04-05,41,5,< 1,< 1,1
2020-04-12,31,4,< 1,< 1,1
2020-04-19,29,4,< 1,< 1,1
2020-04-26,26,4,< 1,< 1,1
2020-05-03,20,3,< 1,1,1
2020-05-10,19,3,< 1,1,1
2020-05-17,16,3,0,< 1,1
2020-05-24,16,3,< 1,< 1,1
2020-05-31,7,3,< 1,< 1,1
2020-06-07,8,3,< 1,< 1,1
2020-06-14,8,3,< 1,< 1,1
2020-06-21,13,4,0,< 1,1
2020-06-28,23,4,< 1,1,1
2020-07-05,14,4,< 1,< 1,1
2020-07-12,16,4,< 1,< 1,1
2020-07-19,14,4,0,< 1,1
2020-07-26,11,4,< 1,< 1,1
2020-08-02,10,4,< 1,< 1,1
2020-08-09,13,3,< 1,< 1,1
2020-08-16,13,3,< 1,< 1,1
2020-08-23,12,3,< 1,< 1,1
2020-08-30,16,3,< 1,< 1,1
2020-09-06,19,3,0,< 1,1
2020-09-13,23,3,< 1,< 1,1
2020-09-20,28,3,< 1,< 1,1
2020-09-27,28,3,< 1,< 1,1
2020-10-04,32,3,< 1,< 1,1
2020-10-11,26,3,< 1,< 1,1
2020-10-18,24,3,< 1,< 1,1
2020-10-25,23,3,< 1,< 1,1
2020-11-01,14,3,0,< 1,1
2020-11-08,18,3,< 1,< 1,1
2020-11-15,22,3,< 1,< 1,1
2020-11-22,14,3,< 1,< 1,1
2020-11-29,18,4,< 1,< 1,1
2020-12-06,20,4,< 1,< 1,1
2020-12-13,19,4,< 1,1,1
2020-12-20,14,4,< 1,1,1
2020-12-27,16,5,< 1,< 1,1
2021-01-03,13,4,0,< 1,1
2021-01-10,11,4,< 1,< 1,1
2021-01-17,10,4,< 1,< 1,1
2021-01-24,10,4,< 1,< 1,1
2021-01-31,8,3,< 1,< 1,1
2021-02-07,7,3,< 1,< 1,1
2021-02-14,7,4,< 1,< 1,1
