Catégorie : Toutes catégories

Semaine,flu: (Californie),bronchitis: (Californie),pneumonia: (Californie),flu symptoms: (Californie),headache: (Californie)
2014-11-16,17,4,6,3,10
2014-11-23,14,4,6,2,10
2014-11-30,18,4,6,3,9
2014-12-07,17,4,7,3,9
2014-12-14,18,4,6,3,9
2014-12-21,22,5,9,5,10
2014-12-28,28,6,9,6,10
2015-01-04,30,7,11,6,11
2015-01-11,30,6,9,6,11
2015-01-18,27,6,10,6,11
2015-01-25,26,6,10,6,11
2015-02-01,23,6,10,5,11
2015-02-08,18,5,9,3,10
2015-02-15,18,5,9,4,10
2015-02-22,15,5,8,3,10
2015-03-01,15,4,8,3,10
2015-03-08,14,5,8,2,10
2015-03-15,13,5,8,2,9
2015-03-22,11,5,8,2,10
2015-03-29,11,4,7,2,10
2015-04-05,13,4,7,2,10
2015-04-12,14,4,7,2,9
2015-04-19,13,4,6,2,10
2015-04-26,11,4,6,2,10
2015-05-03,10,4,6,2,9
2015-05-10,9,4,6,1,10
2015-05-17,10,4,6,2,10
2015-05-24,10,3,5,2,10
2015-05-31,9,3,5,1,11
2015-06-07,8,3,5,1,10
2015-06-14,6,3,5,1,10
2015-06-21,6,2,5,1,11
2015-06-28,6,2,4,1,9
2015-07-05,6,3,5,1,9
2015-07-12,5,2,4,1,10
2015-07-19,6,2,5,1,11
2015-07-26,5,2,4,1,10
2015-08-02,6,2,4,1,10
2015-08-09,6,2,4,1,10
2015-08-16,6,2,4,1,10
2015-08-23,6,2,4,1,10
2015-08-30,9,2,5,1,10
2015-09-06,10,2,5,1,9
2015-09-13,14,3,5,1,9
2015-09-20,17,3,5,2,9
2015-09-27,21,3,5,2,10
2015-10-04,23,3,5,2,10
2015-10-11,22,3,6,2,10
2015-10-18,21,3,6,2,10
2015-10-25,21,3,6,2,10
2015-11-01,21,4,7,2,11
2015-11-08,20,4,7,2,9
2015-11-15,19,4,7,2,10
2015-11-22,16,4,6,2,10
2015-11-29,19,4,8,3,9
2015-12-06,18,4,7,3,10
2015-12-13,19,4,7,3,9
2015-12-20,21,4,7,3,10
2015-12-27,21,6,8,3,12
2016-01-03,19,6,8,3,11
2016-01-10,17,4,7,2,10
2016-01-17,16,4,8,2,11
2016-01-24,15,5,8,3,12
2016-01-31,15,6,8,2,11
2016-02-07,18,6,9,3,12
2016-02-14,21,7,10,4,11
2016-02-21,21,7,10,4,12
2016-02-28,18,5,9,3,12
2016-03-06,16,5,8,3,11
2016-03-13,14,4,7,3,11
2016-03-20,13,4,6,2,11
2016-03-27,12,4,6,2,11
2016-04-03,11,4,6,2,11
2016-04-10,10,3,6,2,11
2016-04-17,13,3,6,2,10
2016-04-24,10,3,6,2,10
2016-05-01,9,3,5,1,10
2016-05-08,9,3,5,1,11
2016-05-15,9,3,5,1,10
2016-05-22,14,3,5,1,11
2016-05-29,11,3,4,1,10
2016-06-05,8,2,4,1,10
2016-06-12,7,2,4,1,10
2016-06-19,7,2,4,1,11
2016-06-26,6,2,4,1,11
2016-07-03,7,2,4,1,9
2016-07-10,6,2,4,1,10
2016-07-17,6,2,4,1,10
2016-07-24,6,2,4,1,11
2016-07-31,6,2,4,1,10
2016-08-07,6,2,4,1,10
2016-08-14,7,2,3,1,10
2016-08-21,8,2,4,1,10
2016-08-28,10,2,4,1,10
2016-09-04,12,3,4,1,10
2016-09-11,18,3,22,1,11
2016-09-18,19,3,6,2,11
2016-09-25,21,3,6,2,11
2016-10-02,22,3,5,2,11
2016-10-09,20,3,5,2,10
2016-10-16,21,3,5,2,11
2016-10-23,19,3,5,2,11
2016-10-30,19,3,5,2,10
2016-11-06,18,3,5,2,10
2016-11-13,18,4,6,2,11
2016-11-20,16,3,5,2,9
2016-11-27,17,4,7,2,10
2016-12-04,17,4,7,2,11
2016-12-11,16,5,7,2,11
2016-12-18,18,6,8,2,11
2016-12-25,19,6,10,3,12
2017-01-01,26,7,10,4,12
2017-01-08,21,6,10,3,12
2017-01-15,21,5,9,3,11
2017-01-22,18,5,8,3,11
2017-01-29,19,6,9,3,12
2017-02-05,19,6,8,3,12
2017-02-12,16,5,8,3,12
2017-02-19,15,5,8,2,12
2017-02-26,14,5,7,2,11
2017-03-05,14,5,8,2,11
2017-03-12,13,5,7,2,12
2017-03-19,12,5,7,2,11
2017-03-26,11,4,7,2,12
2017-04-02,12,4,7,2,12
2017-04-09,12,4,6,2,11
2017-04-16,13,4,7,2,12
2017-04-23,12,4,7,2,11
2017-04-30,10,4,6,2,11
2017-05-07,11,4,6,2,11
2017-05-14,12,3,6,2,11
2017-05-21,11,4,6,2,12
2017-05-28,10,3,6,1,12
2017-06-04,9,3,6,1,12
2017-06-11,9,3,5,1,11
2017-06-18,7,3,4,1,11
2017-06-25,7,3,5,1,12
2017-07-02,7,2,4,1,11
2017-07-09,7,2,4,1,12
2017-07-16,6,2,5,1,12
2017-07-23,7,2,4,1,12
2017-07-30,6,2,4,1,12
2017-08-06,7,2,4,1,12
2017-08-13,8,2,4,1,12
2017-08-20,9,2,4,1,13
2017-08-27,9,2,4,1,12
2017-09-03,12,3,5,1,11
2017-09-10,16,3,5,1,12
2017-09-17,19,3,6,2,11
2017-09-24,24,3,5,2,12
2017-10-01,22,3,6,2,11
2017-10-08,21,3,6,2,11
2017-10-15,23,4,6,2,12
2017-10-22,21,3,6,2,12
2017-10-29,20,3,6,2,12
2017-11-05,21,4,6,2,13
2017-11-12,18,4,7,2,14
2017-11-19,17,4,6,2,13
2017-11-26,19,4,7,3,13
2017-12-03,21,5,8,3,12
2017-12-10,23,5,8,3,13
2017-12-17,36,6,9,6,13
2017-12-24,62,9,14,11,15
2017-12-31,80,10,18,14,15
2018-01-07,98,8,15,16,14
2018-01-14,100,6,13,17,14
2018-01-21,88,6,11,16,14
2018-01-28,76,6,11,16,13
2018-02-04,67,6,11,12,15
2018-02-11,56,6,11,12,12
2018-02-18,38,5,9,8,12
2018-02-25,33,5,10,6,13
2018-03-04,27,5,10,6,14
2018-03-11,22,5,9,4,13
2018-03-18,17,5,8,3,13
2018-03-25,17,4,8,3,14
2018-04-01,16,4,7,3,13
2018-04-08,13,4,6,2,14
2018-04-15,12,4,7,2,12
2018-04-22,11,3,6,2,13
2018-04-29,11,3,6,2,12
2018-05-06,10,3,6,2,12
2018-05-13,9,3,6,1,12
2018-05-20,9,3,6,1,12
2018-05-27,9,3,5,1,12
2018-06-03,8,3,5,1,12
2018-06-10,8,3,5,1,12
2018-06-17,8,3,5,1,13
2018-06-24,7,2,4,1,13
2018-07-01,6,2,4,1,12
2018-07-08,7,2,4,1,13
2018-07-15,6,2,4,1,13
2018-07-22,6,2,4,1,13
2018-07-29,7,2,4,1,13
2018-08-05,7,2,4,1,13
2018-08-12,8,2,4,1,13
2018-08-19,9,2,4,1,12
2018-08-26,11,2,4,1,12
2018-09-02,16,2,5,2,13
2018-09-09,18,3,5,2,16
2018-09-16,20,3,5,2,13
2018-09-23,28,3,6,2,13
2018-09-30,33,2,5,2,13
2018-10-07,33,3,5,2,13
2018-10-14,35,3,6,3,13
2018-10-21,30,3,5,3,13
2018-10-28,27,3,5,3,13
2018-11-04,24,3,6,3,13
2018-11-11,21,4,10,3,13
2018-11-18,20,4,7,3,12
2018-11-25,21,5,7,3,13
2018-12-02,20,4,8,3,12
2018-12-09,20,4,8,3,13
2018-12-16,23,5,8,4,13
2018-12-23,26,5,9,4,13
2018-12-30,31,6,10,5,15
2019-01-06,33,6,10,5,14
2019-01-13,23,5,9,4,14
2019-01-20,22,5,12,4,13
2019-01-27,24,5,10,5,14
2019-02-03,22,5,10,4,13
2019-02-10,21,6,10,4,12
2019-02-17,22,6,11,4,13
2019-02-24,23,6,11,4,14
2019-03-03,22,6,11,3,17
2019-03-10,20,6,10,4,14
2019-03-17,21,6,10,4,15
2019-03-24,18,6,9,3,13
2019-03-31,16,5,8,3,14
2019-04-07,14,5,8,2,13
2019-04-14,13,5,8,2,13
2019-04-21,12,4,8,2,13
2019-04-28,11,4,7,2,13
2019-05-05,11,4,7,2,12
2019-05-12,10,4,7,2,13
2019-05-19,11,4,7,2,13
2019-05-26,10,4,6,2,13
2019-06-02,10,4,7,1,13
2019-06-09,8,3,6,1,12
2019-06-16,8,3,6,1,13
2019-06-23,8,3,6,1,13
2019-06-30,7,3,5,1,12
2019-07-07,8,3,5,1,13
2019-07-14,8,3,5,1,14
2019-07-21,7,2,5,1,13
2019-07-28,7,2,5,1,13
2019-08-04,8,2,5,1,13
2019-08-11,8,3,5,1,13
2019-08-18,10,2,5,1,13
2019-08-25,11,2,6,1,13
2019-09-01,13,2,6,1,12
2019-09-08,17,3,6,2,13
2019-09-15,22,3,6,2,12
2019-09-22,31,3,8,3,13
2019-09-29,38,3,7,3,13
2019-10-06,35,3,7,3,12
2019-10-13,35,4,7,3,13
2019-10-20,32,4,6,3,13
2019-10-27,27,4,7,3,12
2019-11-03,29,4,8,3,13
2019-11-10,27,4,8,3,13
2019-11-17,27,4,8,3,15
