Catégorie : Toutes catégories

Semaine,flu: (Californie),fever: (Californie),migraine: (Californie),congestion: (Californie),sickness: (Californie)
2019-11-17,15,11,3,2,3
2019-11-24,12,11,2,2,3
2019-12-01,14,12,3,2,3
2019-12-08,16,12,3,2,3
2019-12-15,17,14,3,2,3
2019-12-22,20,17,2,2,3
2019-12-29,23,19,3,3,4
2020-01-05,25,16,3,3,3
2020-01-12,27,16,3,3,3
2020-01-19,32,18,3,2,3
2020-01-26,43,18,3,3,3
2020-02-02,35,17,3,3,3
2020-02-09,29,17,3,3,3
2020-02-16,25,17,3,3,3
2020-02-23,47,17,3,3,3
2020-03-01,58,18,3,3,3
2020-03-08,100,26,3,3,4
2020-03-15,89,36,2,3,3
2020-03-22,65,30,3,3,3
2020-03-29,57,25,3,2,3
2020-04-05,41,20,3,2,3
2020-04-12,31,17,3,2,2
2020-04-19,29,15,3,1,2
2020-04-26,26,13,3,1,2
2020-05-03,20,13,3,1,2
2020-05-10,19,11,3,1,2
2020-05-17,16,10,3,1,2
2020-05-24,16,10,3,1,2
2020-05-31,7,9,3,1,2
2020-06-07,8,11,3,1,2
2020-06-14,8,13,3,1,2
2020-06-21,13,14,3,1,3
2020-06-28,23,16,3,2,3
2020-07-05,14,16,3,2,3
2020-07-12,16,16,3,1,3
2020-07-19,14,14,3,1,3
2020-07-26,11,12,3,1,3
2020-08-02,10,12,3,1,3
2020-08-09,13,11,3,1,3
2020-08-16,13,10,3,1,2
2020-08-23,12,9,2,1,2
2020-08-30,16,10,3,1,2
2020-09-06,19,9,3,1,2
2020-09-13,23,9,3,1,2
2020-09-20,28,10,3,1,2
2020-09-27,28,10,3,1,2
2020-10-04,32,10,3,2,3
2020-10-11,26,11,3,1,3
2020-10-18,24,11,3,2,2
2020-10-25,23,11,3,2,2
2020-11-01,14,9,2,1,2
2020-11-08,18,10,3,2,2
2020-11-15,22,11,3,2,2
2020-11-22,14,12,3,2,2
2020-11-29,18,13,3,3,2
2020-12-06,20,15,3,3,2
2020-12-13,19,15,3,2,3
2020-12-20,14,15,3,3,2
2020-12-27,16,15,3,3,3
2021-01-03,13,14,3,3,3
2021-01-10,11,13,3,3,2
2021-01-17,10,11,3,2,2
2021-01-24,10,12,3,2,2
2021-01-31,8,11,3,2,2
2021-02-07,7,11,3,1,2
2021-02-14,7,9,3,2,2
2021-02-21,9,10,3,2,2
2021-02-28,7,10,3,2,2
2021-03-07,7,10,3,1,2
2021-03-14,7,9,3,1,2
2021-03-21,7,10,3,2,2
2021-03-28,6,11,3,2,2
2021-04-04,7,11,3,1,2
2021-04-11,7,11,3,1,2
2021-04-18,6,11,3,1,2
2021-04-25,6,11,3,2,2
2021-05-02,5,11,3,2,2
2021-05-09,6,11,3,2,2
2021-05-16,6,10,3,2,3
2021-05-23,5,10,3,2,3
2021-05-30,13,10,3,1,3
2021-06-06,6,10,3,2,3
2021-06-13,5,10,3,2,3
2021-06-20,5,10,3,2,3
2021-06-27,5,10,3,2,3
2021-07-04,6,11,3,2,3
2021-07-11,6,11,3,2,3
2021-07-18,7,11,3,2,3
2021-07-25,7,13,3,3,3
2021-08-01,9,13,3,2,3
2021-08-08,9,14,3,2,3
2021-08-15,10,13,3,2,2
2021-08-22,10,13,3,2,3
2021-08-29,11,13,3,2,2
2021-09-05,12,13,2,2,3
2021-09-12,15,11,3,2,3
2021-09-19,17,12,3,2,3
2021-09-26,20,10,3,2,3
2021-10-03,21,12,3,2,2
2021-10-10,20,12,3,3,2
2021-10-17,19,11,3,3,2
2021-10-24,17,11,3,3,2
2021-10-31,17,11,3,2,2
2021-11-07,13,12,3,3,3
2021-11-14,14,11,3,2,3
2021-11-21,11,12,2,2,3
2021-11-28,13,11,3,3,3
2021-12-05,11,11,3,2,3
2021-12-12,11,12,2,3,2
2021-12-19,14,16,3,3,3
2021-12-26,21,23,3,5,4
2022-01-02,25,29,3,6,4
2022-01-09,16,23,3,5,3
2022-01-16,11,20,3,4,3
2022-01-23,8,14,3,3,3
2022-01-30,8,13,3,3,2
2022-02-06,7,12,3,2,3
2022-02-13,7,10,3,2,3
2022-02-20,6,10,3,2,3
2022-02-27,6,10,3,2,3
2022-03-06,7,10,3,2,3
2022-03-13,6,11,3,3,3
2022-03-20,7,11,3,2,3
2022-03-27,6,10,3,2,3
2022-04-03,7,11,3,2,3
2022-04-10,7,11,3,3,3
2022-04-17,8,12,3,2,3
2022-04-24,8,13,3,3,3
2022-05-01,7,14,3,3,3
2022-05-08,8,15,3,3,3
2022-05-15,9,17,3,3,3
2022-05-22,9,18,3,3,4
