datetime,tempmax,tempmin,temp,dew,humidity,precip,windspeed
2001-01-01,14.3,0.7,5.3,3.3,89.2,0,11.2
2001-01-02,11.7,0.1,4.3,3.6,95.9,0,9.3
2001-01-03,15.6,0,5.8,3,85.2,0,7.6
2001-01-04,16.1,-0.6,6.3,2.3,79.6,0,14.7
2001-01-05,16.6,-1.6,6,2.3,81,0,9.4
2001-01-06,15,1.7,6.7,3.4,81.7,0,11
2001-01-07,11.7,1,6.5,3.8,84,0,7.6
2001-01-08,11.7,7.9,9.4,8.3,93,27.368,16.6
2001-01-09,11.1,3.1,8.2,6.4,89.3,0.297,22.3
2001-01-10,10.7,7.1,9.3,7.2,86.3,23.309,42.5
2001-01-11,11.1,7.2,9.2,5.7,79.3,3.496,37
2001-01-12,12.9,5.7,8.4,5.1,80.9,1.001,20.4
2001-01-13,12.9,6.1,9.1,5.6,79.3,0,16.5
2001-01-14,12.1,4.4,7.5,4,79.8,0,24
2001-01-15,13.3,3.8,7.6,-2,52.9,0,37
2001-01-16,11.7,1.6,6.5,-3.5,49.6,0,33.4
2001-01-17,11.1,-1.2,4.5,-3.6,58.2,0,14.7
2001-01-18,11.2,-1.7,5,-0.5,70,0,11
2001-01-19,13.8,3.4,7.7,2.6,72.1,0,18.6
2001-01-20,11.6,1.2,5.7,0.3,70.8,0,16.6
2001-01-21,13.3,-1.1,6.6,3.3,80.6,0,12.9
2001-01-22,17.1,2.8,9,3.5,72.2,0,12.9
2001-01-23,11.2,6.2,8.7,6.4,85.8,11.541,16.5
2001-01-24,12.1,4.3,8.2,5.3,82.7,0.011,16.6
2001-01-25,9.4,2.9,6.4,4.5,87.7,23.044,33.5
2001-01-26,11.1,4.3,6.6,4.5,87,0.026,24
2001-01-27,13.8,2.8,7.8,1.9,68,0,33.2
2001-01-28,11.7,0.7,6,2.8,80.9,0,16.5
2001-01-29,12.2,4.4,7.9,5.1,83.1,3.082,16.5
2001-01-30,11.1,1.7,6,0.3,68.3,0,24.1
2001-01-31,14.3,-0.6,5.7,0.2,71.5,0,12.9
2001-02-01,13.9,0.1,7.2,2.9,75.3,0,11.1
2001-02-02,15,2.1,8.6,4,74.4,0,12.9
2001-02-03,18.8,3.3,10.6,5.8,74.5,0,18.7
2001-02-04,20.1,5.1,11.8,7.6,78,0,9.3
2001-02-05,18.4,3.9,10.7,0.8,55.2,0,11.1
2001-02-06,12.2,5.1,8.6,2.3,66.2,0.297,27.7
2001-02-07,12.2,4.3,7.5,-5.4,41.4,0,48.2
2001-02-08,12.1,0.7,6.9,-4.6,45.1,0,27.6
2001-02-09,9.4,6.2,7.4,3.5,77.4,11.224,29.6
2001-02-10,10,5.6,7.1,4.5,83.5,7.546,20.6
2001-02-11,10.1,5.1,7.4,3.6,77.8,8.078,35.3
2001-02-12,6.7,2.8,5.5,3.7,88.3,9.512,18.7
2001-02-13,15.6,2.9,8.4,1,62,0,36.9
2001-02-14,13.9,2.8,8.3,4.1,76.2,0,11.2
2001-02-15,13.4,2.1,7.6,4.5,82,0,9.4
2001-02-16,15.7,5,10.4,4.7,69.2,0,16.7
2001-02-17,13.3,6.7,9.6,5.8,78,3.366,11.2
2001-02-18,13.9,8.3,10.4,9.1,92.1,3.377,14.8
2001-02-19,13.9,8.4,10.4,7.5,82.3,26.495,27.7
2001-02-20,12.9,9.3,10.9,7.8,81,0,22.3
2001-02-21,13.9,9.3,10.8,8.3,85.1,6.662,24.1
