datetime,tempmax,tempmin,temp,dew,humidity,precip,windspeed
2018-01-01,18.3,3.8,9.5,5.4,78.9,0,11.4
2018-01-02,15,4.1,9.1,6.4,84.4,0,10.7
2018-01-03,13.9,4.8,10.1,8.3,89.3,2.366,11.4
2018-01-04,18.3,10,13,11.3,90.5,11.084,12.4
2018-01-05,15.6,11.3,13.5,13.1,97.9,6.896,13.3
2018-01-06,14.6,6.7,10.7,9.4,92.8,0.857,12.8
2018-01-07,10.6,4.8,7.7,7.3,97.6,0,8.2
2018-01-08,13.3,8.9,10.7,10.6,99.4,57.202,13
2018-01-09,13.5,11.1,11.9,11.8,99.4,32.942,20.1
2018-01-10,13.5,7.1,10.6,8.5,87.6,0,16.4
2018-01-11,15.5,5,9.9,8.7,92.6,0,11.3
2018-01-12,15.1,6.7,9.7,9.3,97.5,0,15.5
2018-01-13,12.2,7.1,9.6,9,96.2,0,7.1
2018-01-14,11.9,8.8,10.1,9.3,95.2,0,16.9
2018-01-15,10.8,7.8,9,8.9,99.2,0,12
2018-01-16,14.6,8.9,11.1,10.5,96,0.772,15.1
2018-01-17,11.9,8.9,10.7,10.5,98.3,0,11.3
2018-01-18,13.4,9.3,11.1,10.6,96.6,1.951,20.5
2018-01-19,13.8,6.6,9.7,5.6,78,0,13.1
2018-01-20,13.7,3.4,7.5,2.4,72.2,0,24.6
2018-01-21,11.6,1,7.1,3.7,79.9,0,16.6
2018-01-22,10.6,7.9,9.2,8.2,93.6,3.615,21.8
2018-01-23,13.9,5.7,9.6,7.9,90.1,0,9.2
2018-01-24,11.7,5,8.4,7.8,96,4.435,23.5
2018-01-25,12.2,5.5,8.4,6.5,89,2.511,16.6
2018-01-26,10.5,1.9,6.1,5.3,94.7,0,9.1
2018-01-27,14.9,5.8,9.7,6.7,83.2,0,25
2018-01-28,16.9,2.6,9.1,6.4,84.9,0,14.9
2018-01-29,14.7,4.5,8.9,7.4,91.4,0,9.9
2018-01-30,17.6,4.7,9.4,7.1,87.4,0,7.9
2018-01-31,18.3,2.6,9.7,6.3,82.8,0,16.2
2018-02-01,19.9,6.6,12.2,8.1,78.7,0,16.1
2018-02-02,21,6.1,12.5,9,82,0,10
2018-02-03,22.5,4.7,12.7,9.3,83.1,0,8.3
