Date,"Flu","Sinusitis","Fatigue","Feeling cold","Bronchitis","Pneumonia","Headache","Congestion","Chest pain","Soar throat"
2015-07-01,77,2015,121,1,2399,7326,1262,174,322,0
2015-07-02,74,2022,139,0,2294,7331,1260,190,318,0
2015-07-03,68,1710,103,4,2205,6961,1139,158,311,0
2015-07-04,71,1531,97,0,1799,6141,1069,134,266,0
2015-07-05,75,1775,101,0,1998,6780,1279,149,321,0
2015-07-06,105,2591,119,3,2628,7864,1334,187,347,0
2015-07-07,90,2638,130,0,2607,7539,1320,206,396,0
2015-07-08,90,2138,134,0,2504,7308,1312,185,347,0
2015-07-09,102,2050,152,0,2519,7261,1247,158,331,0
2015-07-10,77,1935,123,0,2229,6673,1185,151,318,0
2015-07-11,82,1654,88,0,1899,5979,1336,111,410,0
2015-07-12,63,1739,122,1,2012,6673,1243,139,293,0
2015-07-13,114,2118,144,0,2707,8490,1355,178,324,0
2015-07-14,63,2239,144,1,2573,8031,1365,181,301,0
2015-07-15,72,2267,147,0,2434,7806,1340,194,389,0
2015-07-16,88,2066,120,2,2253,7214,1273,128,355,0
2015-07-17,68,1789,94,8,2136,7093,1130,175,312,0
2015-07-18,56,1600,98,0,1914,6352,1032,168,289,0
2015-07-19,65,1691,106,0,2011,6949,1249,119,338,0
2015-07-20,77,2255,137,0,2681,8173,1342,183,396,0
2015-07-21,69,2108,150,0,2743,7999,1368,173,337,0
2015-07-22,77,2062,134,0,2560,7402,1306,200,313,0
2015-07-23,101,1989,153,2,2519,7041,1280,169,321,0
2015-07-24,70,1887,106,1,2208,7397,1191,183,270,0
2015-07-25,69,1669,92,2,1813,6801,1024,164,285,0
2015-07-26,69,1680,95,0,1974,7178,1250,134,264,0
2015-07-27,77,2161,135,1,2417,8004,1392,232,363,0
2015-07-28,85,2305,141,7,2490,7587,1337,182,364,0
2015-07-29,110,2230,111,2,2431,7352,1209,147,342,0
2015-07-30,85,2082,118,0,2338,7968,1252,133,338,0
2015-07-31,75,1982,112,1,2215,6855,1276,98,294,0
2015-08-01,79,1807,100,1,1822,6341,1218,107,263,0
2015-08-02,78,1815,90,1,2008,6654,1166,90,274,0
2015-08-03,76,1912,100,0,2232,7748,1267,140,287,0
2015-08-04,91,2202,133,0,2549,7883,1460,115,385,0
2015-08-05,99,2103,121,0,2535,7724,1345,124,320,0
2015-08-06,85,2117,106,0,2548,7688,1349,136,326,0
2015-08-07,82,1793,100,0,2309,7166,1306,112,322,0
2015-08-08,78,1647,82,0,2058,6712,1183,101,282,0
2015-08-09,71,1800,122,0,2173,6845,1305,108,316,0
2015-08-10,90,2122,102,0,2696,7632,1443,123,336,0
2015-08-11,93,2088,142,1,2759,7692,1376,116,337,0
2015-08-12,89,2018,141,0,2876,7974,1361,143,348,0
2015-08-13,83,2010,119,0,2906,7495,1423,129,310,0
2015-08-14,71,1769,103,0,2377,6951,1331,126,335,0
2015-08-15,75,1539,102,0,2026,6353,1300,92,255,0
2015-08-16,95,1827,114,1,2123,6790,1390,99,262,0
