Date,"Acute exacerbation of chronic obstructive pulmonary disease","Paracetamol","1580 influenza pandemic","Spanish flu","2017–2018 United States flu season","2007 Bernard Matthews H5N1 outbreak","2006 H5N1 outbreak in India","2008 H5N1 outbreak in West Bengal","Antigen","1977 Russian flu"
2015-07-01,196,5069,0,162,0,18,13,8,970,0
2015-07-02,214,5498,0,184,0,9,8,5,989,0
2015-07-03,150,4801,0,182,0,9,8,10,778,0
2015-07-04,139,4576,0,170,0,10,5,2,659,0
2015-07-05,156,4597,0,165,0,9,8,6,787,0
2015-07-06,182,5379,0,155,0,13,7,21,920,0
2015-07-07,261,5385,0,198,0,14,12,14,1009,0
2015-07-08,240,5310,0,195,0,17,6,8,1068,0
2015-07-09,206,5491,0,170,0,8,8,2,963,0
2015-07-10,161,5553,0,145,0,23,8,5,943,0
2015-07-11,134,4970,0,178,0,16,6,5,634,0
2015-07-12,153,5130,0,193,0,14,12,7,661,0
2015-07-13,193,5674,0,193,0,27,10,3,973,0
2015-07-14,197,5840,0,168,0,12,7,11,957,0
2015-07-15,219,5795,0,154,0,13,13,2,967,0
2015-07-16,159,5399,0,162,0,8,9,9,834,0
2015-07-17,163,5150,0,175,0,5,6,1,747,0
2015-07-18,108,4785,0,173,0,13,20,5,544,0
2015-07-19,117,5046,0,191,0,8,13,4,611,0
2015-07-20,194,5698,0,184,0,11,13,12,892,0
2015-07-21,169,5776,0,204,0,13,24,14,975,0
2015-07-22,164,6179,0,169,0,14,19,10,939,0
2015-07-23,178,6733,0,194,0,15,14,19,974,0
2015-07-24,137,5791,0,168,0,18,20,10,856,0
2015-07-25,124,4949,0,147,0,15,12,4,682,0
2015-07-26,149,5880,0,174,0,12,14,8,782,0
2015-07-27,189,6296,0,243,0,14,12,2,894,0
2015-07-28,207,6116,0,215,0,15,10,7,1098,0
2015-07-29,252,5984,0,189,0,21,12,21,1084,0
2015-07-30,213,5605,0,177,0,8,14,8,961,0
2015-07-31,175,4989,0,191,0,10,5,5,894,0
2015-08-01,146,4575,0,162,0,5,17,5,598,0
2015-08-02,142,5018,0,312,0,14,5,5,700,0
2015-08-03,191,5052,0,233,0,11,10,3,839,0
2015-08-04,219,5543,0,173,0,6,7,6,1083,0
2015-08-05,224,5427,0,181,0,9,3,5,1016,0
2015-08-06,210,5459,0,199,0,12,9,4,962,0
2015-08-07,185,4955,0,172,0,11,8,11,840,0
2015-08-08,138,4265,0,198,0,11,6,4,676,0
2015-08-09,201,5050,0,229,0,11,16,5,675,0
