DATE,CAPOP,FLPOP,TXPOP,NYPOP,AZPOP,ALPOP,COPOP,GAPOP,ILPOP,MIPOP,BEASWPOP,NCPOP
1900-01-01,1490.000,530.000,3055.000,7283.000,124.000,1830.000,543.000,2220.000,4828.000,2423.000,4175.000,1897.000
1901-01-01,1550.000,544.000,3132.000,7449.000,131.000,1907.000,581.000,2263.000,4914.000,2450.000,4385.000,1926.000
1902-01-01,1623.000,565.000,3210.000,7612.000,138.000,1935.000,621.000,2305.000,4992.000,2477.000,4593.000,1956.000
1903-01-01,1702.000,587.000,3291.000,7771.000,144.000,1957.000,652.000,2346.000,5071.000,2505.000,4782.000,1986.000
1904-01-01,1792.000,599.000,3374.000,7927.000,151.000,1978.000,659.000,2387.000,5161.000,2534.000,4967.000,2017.000
1905-01-01,1893.000,615.000,3459.000,8084.000,158.000,2012.000,680.000,2427.000,5241.000,2579.000,5149.000,2051.000
1906-01-01,1976.000,628.000,3546.000,8289.000,167.000,2045.000,707.000,2466.000,5309.000,2626.000,5331.000,2077.000
1907-01-01,2054.000,645.000,3636.000,8499.000,176.000,2058.000,733.000,2505.000,5384.000,2693.000,5509.000,2105.000
1908-01-01,2161.000,684.000,3727.000,8714.000,186.000,2070.000,757.000,2543.000,5474.000,2722.000,5709.000,2142.000
1909-01-01,2282.000,724.000,3821.000,8935.000,196.000,2108.000,775.000,2580.000,5567.000,2771.000,5916.000,2174.000
1910-01-01,2406.000,756.000,3922.000,9137.000,206.000,2150.000,804.000,2618.000,5668.000,2832.000,6128.000,2221.000
1911-01-01,2534.000,773.000,4016.000,9249.000,212.000,2185.000,821.000,2644.000,5757.000,2916.000,6276.000,2276.000
1912-01-01,2668.000,801.000,4107.000,9361.000,217.000,2217.000,832.000,2676.000,5828.000,2997.000,6399.000,2313.000
1913-01-01,2811.000,828.000,4207.000,9473.000,236.000,2279.000,835.000,2733.000,5961.000,3101.000,6564.000,2362.000
1914-01-01,2934.000,871.000,4300.000,9585.000,253.000,2336.000,846.000,2776.000,6109.000,3183.000,6725.000,2421.000
1915-01-01,3008.000,922.000,4368.000,9700.000,263.000,2345.000,868.000,2810.000,6194.000,3263.000,6842.000,2473.000
1916-01-01,3071.000,924.000,4444.000,9848.000,282.000,2359.000,892.000,2856.000,6274.000,3353.000,6987.000,2513.000
1917-01-01,3171.000,895.000,4563.000,9993.000,311.000,2361.000,910.000,2885.000,6313.000,3451.000,7195.000,2546.000
1918-01-01,3262.000,865.000,4666.000,9936.000,320.000,2343.000,906.000,2941.000,6275.000,3499.000,7337.000,2522.000
1919-01-01,3339.000,898.000,4631.000,10252.000,329.000,2337.000,938.000,2870.000,6392.000,3591.000,7325.000,2535.000
1920-01-01,3554.000,962.000,4723.000,10282.000,340.000,2359.000,937.000,2926.000,6663.000,3723.000,7481.000,2588.000
1921-01-01,3795.000,997.000,4853.000,10416.000,351.000,2402.000,961.000,2965.000,6858.000,3872.000,7682.000,2651.000
1922-01-01,3991.000,1044.000,4955.000,10589.000,360.000,2434.000,965.000,2965.000,6958.000,3942.000,7830.000,2700.000
1923-01-01,4270.000,1097.000,5077.000,10752.000,371.000,2464.000,984.000,2954.000,7068.000,4063.000,7989.000,2761.000
1924-01-01,4541.000,1160.000,5210.000,10953.000,382.000,2501.000,1014.000,2920.000,7215.000,4214.000,8161.000,2830.000
1925-01-01,4730.000,1264.000,5332.000,11186.000,393.000,2534.000,1019.000,2883.000,7306.000,4331.000,8337.000,2895.000
1926-01-01,4929.000,1368.000,5453.000,11257.000,403.000,2567.000,1016.000,2869.000,7395.000,4451.000,8515.000,2959.000
1927-01-01,5147.000,1418.000,5577.000,11174.000,414.000,2609.000,1028.000,2891.000,7519.000,4589.000,8707.000,3027.000
1928-01-01,5344.000,1433.000,5675.000,11599.000,422.000,2640.000,1014.000,2903.000,7576.000,4665.000,8857.000,3082.000
1929-01-01,5531.000,1445.000,5762.000,12171.000,430.000,2644.000,1008.000,2903.000,7606.000,4795.000,8984.000,3133.000
1930-01-01,5711.000,1471.000,5844.000,12647.000,434.000,2647.000,1040.000,2910.000,7644.000,4834.000,9106.000,3167.000
1931-01-01,5824.000,1493.000,5907.000,12848.000,429.000,2649.000,1056.000,2924.000,7687.000,4798.000,9175.000,3184.000
1932-01-01,5894.000,1521.000,5961.000,13001.000,426.000,2653.000,1066.000,2935.000,7736.000,4780.000,9222.000,3227.000
1933-01-01,5963.000,1552.000,6014.000,13126.000,426.000,2661.000,1071.000,2950.000,7768.000,4780.000,9281.000,3268.000
1934-01-01,6060.000,1585.000,6053.000,13253.000,428.000,2685.000,1075.000,2964.000,7772.000,4798.000,9333.000,3304.000
1935-01-01,6175.000,1613.000,6123.000,13375.000,434.000,2719.000,1078.000,2955.000,7797.000,4838.000,9418.000,3323.000
1936-01-01,6341.000,1651.000,6192.000,13481.000,443.000,2743.000,1090.000,2978.000,7840.000,4889.000,9489.000,3346.000
1937-01-01,6528.000,1709.000,6250.000,13511.000,453.000,2762.000,1104.000,3037.000,7857.000,4968.000,9540.000,3385.000
1938-01-01,6656.000,1771.000,6301.000,13512.000,466.000,2787.000,1112.000,3091.000,7866.000,5056.000,9604.000,3440.000
1939-01-01,6785.000,1836.000,6360.000,13523.000,484.000,2814.000,1120.000,3120.000,7890.000,5156.000,9700.000,3514.000
1940-01-01,6950.000,1915.000,6425.000,13456.000,499.000,2845.000,1130.000,3119.000,7905.000,5315.000,9780.000,3574.000
1941-01-01,7237.000,2017.000,6585.000,13267.000,490.000,2902.000,1124.000,3179.000,7995.000,5472.000,9843.000,3589.000
1942-01-01,7735.000,2151.000,6711.000,13002.000,524.000,2941.000,1113.000,3209.000,8057.000,5549.000,9952.000,3569.000
1943-01-01,8506.000,2451.000,7012.000,12807.000,692.000,2902.000,1153.000,3245.000,7761.000,5405.000,10443.000,3654.000
1944-01-01,8945.000,2420.000,6876.000,12628.000,610.000,2802.000,1137.000,3176.000,7719.000,5467.000,10056.000,3560.000
1945-01-01,9344.000,2465.000,6826.000,12495.000,594.000,2775.000,1116.000,3119.000,7601.000,5475.000,9985.000,3533.000
1946-01-01,9559.000,2440.000,7197.000,13398.000,616.000,2911.000,1203.000,3242.000,8155.000,5874.000,10502.000,3706.000
1947-01-01,9832.000,2528.000,7388.000,13982.000,653.000,2942.000,1237.000,3272.000,8341.000,6076.000,10756.000,3769.000
1948-01-01,10064.000,2578.000,7626.000,14497.000,690.000,2969.000,1263.000,3259.000,8552.000,6213.000,11009.000,3837.000
1949-01-01,10337.000,2668.000,7623.000,14892.000,714.000,3000.000,1295.000,3325.000,8670.000,6332.000,11086.000,3911.000
1950-01-01,10677.000,2810.000,7776.000,14865.000,756.000,3058.000,1325.000,3458.000,8738.000,6407.000,11450.000,4068.000
