Semaine,flu: (Californie),polypnea: (Californie),conjonctivis: (Californie),cyanosis: (Californie),h1n1: (Californie)
2014-11-16,17,0,0,< 1,< 1
2014-11-23,14,0,0,< 1,< 1
2014-11-30,18,0,0,< 1,< 1
2014-12-07,17,0,0,< 1,< 1
2014-12-14,18,0,0,< 1,< 1
2014-12-21,22,0,0,0,< 1
2014-12-28,28,0,0,< 1,< 1
2015-01-04,30,0,0,< 1,< 1
2015-01-11,30,0,0,< 1,1
2015-01-18,27,0,0,< 1,< 1
2015-01-25,26,0,0,< 1,< 1
2015-02-01,23,0,0,< 1,< 1
2015-02-08,18,0,0,< 1,< 1
2015-02-15,18,0,0,< 1,< 1
2015-02-22,15,0,0,< 1,< 1
2015-03-01,15,0,0,< 1,< 1
2015-03-08,14,0,0,< 1,< 1
2015-03-15,13,0,0,< 1,< 1
2015-03-22,11,0,0,< 1,< 1
2015-03-29,11,0,0,0,< 1
2015-04-05,13,0,0,< 1,< 1
2015-04-12,14,0,0,< 1,0
2015-04-19,13,0,0,< 1,< 1
2015-04-26,11,0,0,0,< 1
2015-05-03,10,0,0,< 1,< 1
2015-05-10,9,0,0,< 1,0
2015-05-17,10,0,0,< 1,0
2015-05-24,10,0,0,< 1,0
2015-05-31,9,0,0,< 1,< 1
2015-06-07,8,0,0,0,0
2015-06-14,6,0,0,< 1,< 1
2015-06-21,6,0,0,< 1,0
2015-06-28,6,0,0,0,< 1
2015-07-05,6,0,0,0,< 1
2015-07-12,5,0,0,0,0
2015-07-19,6,0,0,0,0
2015-07-26,5,0,0,< 1,< 1
2015-08-02,6,0,0,< 1,0
2015-08-09,6,0,0,< 1,0
2015-08-16,6,0,0,0,0
2015-08-23,6,0,0,< 1,0
2015-08-30,9,0,0,< 1,0
2015-09-06,10,0,0,< 1,< 1
2015-09-13,14,0,0,< 1,0
2015-09-20,17,0,0,< 1,0
2015-09-27,21,0,0,< 1,< 1
2015-10-04,23,0,0,0,0
2015-10-11,22,0,0,< 1,< 1
2015-10-18,21,0,0,< 1,< 1
2015-10-25,21,0,0,< 1,< 1
2015-11-01,21,0,0,< 1,< 1
2015-11-08,20,0,0,0,0
