Catégorie : Toutes catégories

Semaine,flu: (Californie),fever: (Californie),migraine: (Californie),congestion: (Californie),sickness: (Californie)
2010-10-24,13,12,2,1,3
2010-10-31,12,28,3,2,3
2010-11-07,11,12,3,2,3
2010-11-14,11,12,3,2,3
2010-11-21,9,11,2,2,3
2010-11-28,10,13,3,2,3
2010-12-05,9,12,2,2,3
2010-12-12,9,11,2,2,3
2010-12-19,9,11,2,2,3
2010-12-26,10,13,2,2,3
2011-01-02,15,19,4,3,5
2011-01-09,15,19,4,3,5
2011-01-16,15,23,3,3,5
2011-01-23,16,24,4,3,5
2011-01-30,15,23,4,3,5
2011-02-06,17,24,3,3,5
2011-02-13,19,28,7,3,6
2011-02-20,18,28,5,3,6
2011-02-27,16,24,4,3,6
2011-03-06,15,24,4,3,5
2011-03-13,12,21,4,2,7
2011-03-20,10,20,4,2,6
2011-03-27,9,22,3,2,6
2011-04-03,8,21,4,3,6
2011-04-10,8,20,4,2,5
2011-04-17,7,20,4,2,5
2011-04-24,7,20,4,2,4
2011-05-01,7,20,4,3,5
2011-05-08,7,19,4,2,5
2011-05-15,7,18,3,2,5
2011-05-22,7,18,4,2,5
2011-05-29,8,19,3,2,5
2011-06-05,7,20,4,2,5
2011-06-12,7,19,3,2,5
2011-06-19,6,18,4,2,5
2011-06-26,5,17,4,2,6
2011-07-03,5,19,3,2,6
2011-07-10,5,17,3,1,6
2011-07-17,5,17,4,2,6
2011-07-24,5,17,4,1,6
2011-07-31,5,17,4,1,6
2011-08-07,5,16,3,2,6
2011-08-14,6,16,4,2,5
2011-08-21,7,18,4,2,5
2011-08-28,8,17,4,2,6
2011-09-04,10,17,4,2,6
2011-09-11,13,18,3,2,5
2011-09-18,15,18,4,2,5
2011-09-25,17,18,4,2,5
2011-10-02,20,16,3,2,5
2011-10-09,21,17,4,2,5
2011-10-16,20,18,4,2,5
2011-10-23,20,18,4,2,5
2011-10-30,17,19,4,3,5
2011-11-06,17,18,4,2,5
2011-11-13,15,18,4,2,5
2011-11-20,12,18,3,2,5
2011-11-27,14,18,4,3,5
2011-12-04,13,18,4,2,5
2011-12-11,14,18,3,2,5
2011-12-18,15,18,3,3,4
2011-12-25,17,19,3,3,5
2012-01-01,16,20,4,3,6
2012-01-08,14,19,4,3,5
2012-01-15,14,18,4,3,5
2012-01-22,13,20,4,2,5
2012-01-29,15,20,4,3,5
2012-02-05,14,22,4,3,5
2012-02-12,16,21,4,3,5
2012-02-19,16,23,5,3,6
2012-02-26,14,22,4,3,6
2012-03-04,14,23,4,3,5
2012-03-11,14,24,4,3,5
2012-03-18,13,21,4,3,6
2012-03-25,11,20,4,2,5
2012-04-01,10,20,4,2,5
2012-04-08,9,19,4,2,5
2012-04-15,9,21,4,2,5
2012-04-22,7,19,4,2,5
2012-04-29,7,19,4,2,5
2012-05-06,7,19,4,2,5
2012-05-13,7,20,4,2,5
2012-05-20,7,20,4,2,5
2012-05-27,6,20,3,2,5
2012-06-03,6,19,4,2,5
2012-06-10,6,18,4,2,5
2012-06-17,6,18,4,2,5
2012-06-24,6,18,4,2,5
2012-07-01,5,18,3,2,5
2012-07-08,6,18,4,2,6
2012-07-15,6,17,4,2,5
2012-07-22,5,16,4,1,5
2012-07-29,6,16,4,1,5
