Catégorie : Toutes catégories

Semaine,flu: (Californie),difficulty sleeping: (Californie),vomiting: (Californie),abdominal pain: (Californie),influenza: (Californie)
2010-10-24,13,0,2,1,2
2010-10-31,12,0,2,2,1
2010-11-07,11,0,2,2,1
2010-11-14,11,0,2,2,1
2010-11-21,9,0,2,1,1
2010-11-28,10,0,2,1,1
2010-12-05,9,0,2,2,1
2010-12-12,9,0,2,1,1
2010-12-19,9,0,2,2,1
2010-12-26,10,0,2,1,1
2011-01-02,15,0,3,3,1
2011-01-09,15,0,4,2,1
2011-01-16,15,0,4,3,1
2011-01-23,16,0,4,3,2
2011-01-30,15,0,3,2,2
2011-02-06,17,0,3,3,3
2011-02-13,19,0,4,3,2
2011-02-20,18,0,3,3,2
2011-02-27,16,0,3,2,2
2011-03-06,15,0,4,3,2
2011-03-13,12,0,3,2,2
2011-03-20,10,0,4,2,1
2011-03-27,9,0,3,3,1
2011-04-03,8,0,3,2,1
2011-04-10,8,0,3,3,1
2011-04-17,7,0,3,2,1
2011-04-24,7,0,4,3,1
2011-05-01,7,0,3,2,1
2011-05-08,7,0,3,2,1
2011-05-15,7,0,3,3,1
2011-05-22,7,0,3,3,1
2011-05-29,8,0,4,3,1
2011-06-05,7,0,4,3,1
2011-06-12,7,0,3,3,1
2011-06-19,6,0,4,3,1
2011-06-26,5,0,3,3,< 1
2011-07-03,5,0,3,3,1
2011-07-10,5,0,3,3,1
2011-07-17,5,0,3,3,1
2011-07-24,5,0,4,3,< 1
2011-07-31,5,0,3,3,1
2011-08-07,5,0,3,3,1
2011-08-14,6,0,3,3,1
2011-08-21,7,0,3,3,1
2011-08-28,8,0,3,3,1
2011-09-04,10,0,3,3,1
2011-09-11,13,0,3,2,1
2011-09-18,15,0,3,3,1
2011-09-25,17,0,3,3,1
2011-10-02,20,0,3,3,1
2011-10-09,21,0,3,3,1
2011-10-16,20,0,3,3,1
2011-10-23,20,0,3,3,1
2011-10-30,17,0,3,3,1
2011-11-06,17,0,4,3,1
2011-11-13,15,0,4,3,1
2011-11-20,12,0,4,3,1
2011-11-27,14,0,4,3,1
2011-12-04,13,0,4,2,1
2011-12-11,14,0,4,3,1
2011-12-18,15,0,5,3,1
2011-12-25,17,0,5,2,1
2012-01-01,16,0,5,3,1
2012-01-08,14,0,5,3,1
2012-01-15,14,0,4,3,1
2012-01-22,13,0,4,3,1
2012-01-29,15,0,4,3,1
2012-02-05,14,0,4,3,1
2012-02-12,16,0,4,3,2
2012-02-19,16,0,4,3,2
2012-02-26,14,0,4,3,2
2012-03-04,14,0,4,3,1
2012-03-11,14,0,4,3,2
2012-03-18,13,0,4,3,2
2012-03-25,11,0,3,3,1
2012-04-01,10,0,3,3,1
2012-04-08,9,0,3,3,1
2012-04-15,9,0,3,3,1
2012-04-22,7,0,3,3,1
2012-04-29,7,0,3,3,1
2012-05-06,7,0,3,3,1
2012-05-13,7,0,4,3,1
2012-05-20,7,0,3,3,1
2012-05-27,6,0,3,3,1
2012-06-03,6,0,4,3,1
2012-06-10,6,0,4,3,1
2012-06-17,6,0,3,3,1
2012-06-24,6,0,4,3,1
2012-07-01,5,0,4,3,< 1
2012-07-08,6,0,3,3,< 1
2012-07-15,6,0,3,3,1
2012-07-22,5,0,4,3,1
2012-07-29,6,0,3,3,1
2012-08-05,6,0,3,3,1
2012-08-12,7,0,3,3,1
2012-08-19,7,0,4,3,1
2012-08-26,8,0,3,3,1
2012-09-02,11,0,4,3,1
2012-09-09,13,0,3,3,1
2012-09-16,16,0,4,3,1
2012-09-23,17,0,3,3,1
2012-09-30,22,0,4,3,1
2012-10-07,23,0,4,3,1
2012-10-14,26,0,4,3,1
2012-10-21,21,0,4,3,1
2012-10-28,20,0,4,3,1
2012-11-04,19,0,5,3,1
2012-11-11,22,0,6,3,1
2012-11-18,20,0,5,3,1
2012-11-25,21,0,5,3,1
2012-12-02,22,0,4,3,2
2012-12-09,18,0,4,3,2
2012-12-16,17,0,4,2,1
2012-12-23,21,0,5,3,1
2012-12-30,28,0,5,3,2
2013-01-06,98,0,5,3,5
2013-01-13,100,0,5,3,5
2013-01-20,69,0,5,3,5
2013-01-27,52,0,5,3,4
2013-02-03,34,0,4,3,3
2013-02-10,26,0,4,3,3
2013-02-17,24,0,5,3,2
2013-02-24,22,0,4,3,2
2013-03-03,18,0,4,3,2
2013-03-10,16,0,4,3,1
2013-03-17,14,0,4,3,1
2013-03-24,13,0,4,3,1
2013-03-31,13,0,4,3,1
2013-04-07,13,0,4,3,1
2013-04-14,11,0,4,3,1
2013-04-21,11,0,4,3,1
2013-04-28,11,0,4,3,1
2013-05-05,8,0,4,3,1
2013-05-12,8,0,4,3,1
2013-05-19,8,0,4,3,1
2013-05-26,7,0,4,3,1
2013-06-02,7,0,4,3,1
2013-06-09,6,0,4,3,1
2013-06-16,6,0,4,3,< 1
2013-06-23,6,0,4,3,1
2013-06-30,5,0,4,3,< 1
2013-07-07,5,0,4,3,< 1
2013-07-14,5,0,4,3,< 1
2013-07-21,6,0,4,3,< 1
2013-07-28,6,0,4,3,1
2013-08-04,6,0,3,3,1
2013-08-11,6,0,4,3,< 1
2013-08-18,7,0,4,3,1
2013-08-25,8,0,4,3,< 1
2013-09-01,10,0,4,3,1
2013-09-08,13,0,3,3,1
2013-09-15,16,0,3,3,1
2013-09-22,21,0,3,3,1
2013-09-29,25,0,4,3,1
2013-10-06,24,0,4,3,1
2013-10-13,24,0,4,3,1
2013-10-20,25,0,4,3,1
2013-10-27,23,0,4,3,1
2013-11-03,22,0,4,3,1
2013-11-10,22,0,5,3,1
2013-11-17,19,0,4,3,2
2013-11-24,16,0,4,3,1
2013-12-01,17,0,4,3,1
2013-12-08,17,0,4,3,1
2013-12-15,20,0,5,3,2
2013-12-22,25,0,6,3,2
2013-12-29,41,0,6,3,3
2014-01-05,73,0,6,3,5
2014-01-12,75,0,5,3,4
2014-01-19,58,0,5,4,4
2014-01-26,50,0,5,3,4
2014-02-02,34,0,5,3,3
2014-02-09,24,0,4,3,2
2014-02-16,18,0,4,3,2
2014-02-23,16,0,4,3,2
2014-03-02,13,0,4,3,1
2014-03-09,11,0,4,3,1
2014-03-16,10,0,4,3,1
2014-03-23,10,0,4,3,1
2014-03-30,10,0,4,3,1
2014-04-06,9,0,4,3,1
2014-04-13,9,0,4,3,1
2014-04-20,9,0,4,3,1
2014-04-27,9,0,4,3,1
2014-05-04,8,0,4,3,1
2014-05-11,8,0,4,3,1
2014-05-18,8,0,4,3,1
2014-05-25,7,0,5,3,1
2014-06-01,8,0,4,3,1
2014-06-08,7,0,4,3,1
2014-06-15,6,0,4,3,1
2014-06-22,6,0,4,3,1
2014-06-29,6,0,4,3,1
2014-07-06,6,0,4,3,1
2014-07-13,6,0,4,3,1
2014-07-20,6,0,4,3,1
2014-07-27,6,0,4,3,1
2014-08-03,7,0,3,3,1
2014-08-10,6,0,4,3,1
2014-08-17,7,0,3,3,1
2014-08-24,8,0,4,3,1
2014-08-31,10,0,4,3,1
2014-09-07,14,0,4,3,1
2014-09-14,17,0,3,3,1
2014-09-21,21,0,3,3,1
2014-09-28,28,0,4,3,2
2014-10-05,29,0,4,3,2
2014-10-12,31,0,4,3,2
2014-10-19,32,0,4,3,2
2014-10-26,23,0,4,3,2
