Catégorie : Toutes catégories

Semaine,flu: (Californie),hygiene: (Californie),conjonctivis distancing: (Californie),drug use: (Californie),runny nose: (Californie)
2010-10-24,13,1,0,1,1
2010-10-31,12,2,0,1,1
2010-11-07,11,2,0,1,1
2010-11-14,11,1,0,1,1
2010-11-21,9,1,0,1,< 1
2010-11-28,10,1,0,1,1
2010-12-05,9,1,0,1,1
2010-12-12,9,1,0,1,1
2010-12-19,9,1,0,< 1,1
2010-12-26,10,1,0,< 1,1
2011-01-02,15,2,0,1,1
2011-01-09,15,2,0,1,2
2011-01-16,15,2,0,1,1
2011-01-23,16,2,0,1,2
2011-01-30,15,2,0,1,2
2011-02-06,17,2,0,2,2
2011-02-13,19,2,0,2,1
2011-02-20,18,2,0,1,2
2011-02-27,16,2,0,2,1
2011-03-06,15,2,0,1,1
2011-03-13,12,2,0,1,1
2011-03-20,10,2,0,2,1
2011-03-27,9,2,0,1,1
2011-04-03,8,2,0,2,1
2011-04-10,8,2,0,2,1
2011-04-17,7,2,0,2,1
2011-04-24,7,2,0,2,1
2011-05-01,7,2,0,2,1
2011-05-08,7,2,0,2,1
2011-05-15,7,2,0,2,1
2011-05-22,7,2,0,2,1
2011-05-29,8,2,0,1,1
2011-06-05,7,2,0,2,1
2011-06-12,7,2,0,1,1
2011-06-19,6,2,0,1,1
2011-06-26,5,2,0,1,1
2011-07-03,5,1,0,1,1
2011-07-10,5,2,0,1,1
2011-07-17,5,2,0,1,1
2011-07-24,5,2,0,1,1
2011-07-31,5,2,0,1,1
2011-08-07,5,2,0,1,< 1
2011-08-14,6,2,0,1,1
2011-08-21,7,2,0,1,1
2011-08-28,8,2,0,2,1
2011-09-04,10,2,0,1,1
2011-09-11,13,2,0,1,1
2011-09-18,15,2,0,2,1
2011-09-25,17,2,0,1,1
2011-10-02,20,2,0,1,1
2011-10-09,21,2,0,2,1
2011-10-16,20,2,0,2,1
2011-10-23,20,2,0,2,1
2011-10-30,17,2,0,2,1
2011-11-06,17,2,0,2,1
2011-11-13,15,2,0,2,1
2011-11-20,12,1,0,1,1
2011-11-27,14,2,0,2,1
2011-12-04,13,2,0,2,1
2011-12-11,14,2,0,1,1
2011-12-18,15,2,0,1,2
2011-12-25,17,1,0,1,2
2012-01-01,16,2,0,1,2
2012-01-08,14,2,0,1,2
2012-01-15,14,2,0,1,1
2012-01-22,13,2,0,1,1
2012-01-29,15,2,0,1,1
2012-02-05,14,2,0,2,2
2012-02-12,16,2,0,2,1
2012-02-19,16,2,0,2,1
