Catégorie : Toutes catégories

Semaine,flu: (Californie),bronchitis: (Californie),pneumonia: (Californie),flu symptoms: (Californie),headache: (Californie)
2010-10-24,13,2,4,1,4
2010-10-31,12,2,4,1,5
2010-11-07,11,2,4,1,5
2010-11-14,11,2,5,1,5
2010-11-21,9,2,4,1,4
2010-11-28,10,2,5,2,5
2010-12-05,9,2,4,1,5
2010-12-12,9,2,4,1,4
2010-12-19,9,2,4,2,4
2010-12-26,10,3,5,2,5
2011-01-02,15,5,8,3,7
2011-01-09,15,5,9,3,8
2011-01-16,15,5,8,4,8
2011-01-23,16,6,9,4,8
2011-01-30,15,6,9,4,7
2011-02-06,17,6,9,4,8
2011-02-13,19,6,10,5,8
2011-02-20,18,6,9,4,8
2011-02-27,16,5,11,4,9
2011-03-06,15,5,8,3,8
2011-03-13,12,4,8,2,8
2011-03-20,10,4,7,2,8
2011-03-27,9,4,6,2,8
2011-04-03,8,4,6,2,8
2011-04-10,8,4,6,2,8
2011-04-17,7,4,6,2,8
2011-04-24,7,4,6,1,8
2011-05-01,7,3,6,1,7
2011-05-08,7,4,6,1,8
2011-05-15,7,3,6,2,7
2011-05-22,7,3,5,1,7
2011-05-29,8,3,6,2,8
2011-06-05,7,3,5,2,8
2011-06-12,7,3,5,1,8
2011-06-19,6,3,4,1,8
2011-06-26,5,2,4,1,7
2011-07-03,5,2,4,1,7
2011-07-10,5,2,5,1,7
2011-07-17,5,2,4,1,8
2011-07-24,5,2,4,1,8
2011-07-31,5,2,4,1,8
2011-08-07,5,2,4,1,7
2011-08-14,6,2,4,1,8
2011-08-21,7,2,4,1,8
2011-08-28,8,2,4,1,8
2011-09-04,10,2,4,2,8
2011-09-11,13,2,5,2,8
2011-09-18,15,3,5,2,7
2011-09-25,17,2,5,2,8
2011-10-02,20,3,5,2,8
2011-10-09,21,3,5,2,8
2011-10-16,20,3,6,2,8
2011-10-23,20,3,6,3,8
2011-10-30,17,3,6,2,8
2011-11-06,17,4,7,2,8
2011-11-13,15,4,6,3,9
2011-11-20,12,3,6,2,8
2011-11-27,14,4,7,2,9
2011-12-04,13,3,6,2,7
2011-12-11,14,4,6,3,8
2011-12-18,15,4,6,3,7
2011-12-25,17,5,7,3,8
2012-01-01,16,5,7,3,10
2012-01-08,14,5,7,3,9
2012-01-15,14,4,6,3,8
2012-01-22,13,4,7,3,9
2012-01-29,15,5,7,3,9
2012-02-05,14,5,7,3,9
2012-02-12,16,4,8,3,9
2012-02-19,16,5,9,3,10
2012-02-26,14,5,8,3,9
2012-03-04,14,5,8,3,9
2012-03-11,14,5,8,3,9
2012-03-18,13,4,7,3,9
2012-03-25,11,4,7,3,8
2012-04-01,10,4,6,2,9
2012-04-08,9,4,6,2,9
2012-04-15,9,3,6,2,9
2012-04-22,7,3,5,2,9
2012-04-29,7,3,5,1,9
2012-05-06,7,3,5,1,9
2012-05-13,7,3,5,2,9
2012-05-20,7,3,5,1,9
2012-05-27,6,3,5,1,9
2012-06-03,6,3,5,2,9
2012-06-10,6,2,4,2,9
2012-06-17,6,3,5,1,9
2012-06-24,6,2,4,1,9
2012-07-01,5,2,4,1,9
2012-07-08,6,2,4,1,9
2012-07-15,6,2,4,1,9
2012-07-22,5,2,4,1,9
2012-07-29,6,2,4,1,9
2012-08-05,6,2,3,1,9
2012-08-12,7,2,4,1,10
2012-08-19,7,2,4,1,9
2012-08-26,8,2,4,2,9
2012-09-02,11,3,4,2,10
2012-09-09,13,3,5,2,9
2012-09-16,16,3,6,2,10
2012-09-23,17,3,5,2,9
2012-09-30,22,3,6,2,10
2012-10-07,23,3,5,2,9
2012-10-14,26,3,6,3,10
2012-10-21,21,3,6,3,10
2012-10-28,20,3,6,3,9
2012-11-04,19,4,6,3,9
2012-11-11,22,4,6,3,9
2012-11-18,20,4,6,3,9
2012-11-25,21,4,6,3,10
2012-12-02,22,4,6,3,10
2012-12-09,18,4,7,3,9
2012-12-16,17,4,7,3,8
2012-12-23,21,6,8,4,9
2012-12-30,28,7,9,5,11
2013-01-06,98,7,10,13,10
2013-01-13,100,7,10,16,11
2013-01-20,69,7,10,15,11
2013-01-27,52,7,12,12,11
2013-02-03,34,6,10,8,10
2013-02-10,26,5,9,6,10
2013-02-17,24,6,9,5,10
