Catégorie : Toutes catégories

Semaine,flu: (Californie),sinusitus: (Californie),stomach flu: (Californie),fatigue: (Californie)
2014-10-26,72,0,6,15
2014-11-02,68,0,7,14
2014-11-09,63,0,7,17
2014-11-16,58,0,8,15
2014-11-23,46,0,8,12
2014-11-30,63,0,10,13
2014-12-07,58,0,8,12
2014-12-14,61,0,9,13
2014-12-21,75,0,13,11
2014-12-28,96,0,11,12
2015-01-04,100,0,12,14
2015-01-11,100,0,10,14
2015-01-18,96,0,10,15
2015-01-25,84,0,11,15
2015-02-01,73,0,9,14
2015-02-08,60,0,7,18
2015-02-15,59,0,9,16
2015-02-22,49,0,9,16
2015-03-01,49,0,10,16
2015-03-08,47,0,10,16
2015-03-15,42,0,10,17
2015-03-22,38,0,9,18
2015-03-29,38,0,10,16
2015-04-05,43,0,12,17
2015-04-12,47,0,10,15
2015-04-19,43,0,12,15
2015-04-26,38,0,11,16
2015-05-03,32,0,10,16
2015-05-10,31,0,9,15
2015-05-17,34,0,8,16
2015-05-24,33,0,7,15
2015-05-31,30,0,7,15
2015-06-07,26,0,6,16
2015-06-14,21,0,5,14
2015-06-21,20,0,5,15
2015-06-28,19,0,6,16
2015-07-05,19,0,5,16
2015-07-12,17,0,5,16
2015-07-19,19,0,4,16
2015-07-26,17,0,4,15
2015-08-02,19,0,5,15
2015-08-09,20,0,5,15
2015-08-16,20,0,5,15
2015-08-23,21,0,4,15
2015-08-30,30,0,5,15
2015-09-06,32,0,5,14
2015-09-13,47,0,6,15
2015-09-20,58,0,6,15
2015-09-27,71,0,6,15
2015-10-04,78,0,6,16
2015-10-11,76,0,6,15
2015-10-18,80,0,7,16
2015-10-25,64,0,7,15
2015-11-01,75,0,7,15
2015-11-08,72,0,8,15
2015-11-15,64,0,9,15
2015-11-22,55,0,12,12
